Model_index Run_id Replica_id Frame_id GaussianEMRestraint_None_CCC ConnectivityRestraint_Score ExcludedVolumeSphere_Score GaussianEMRestraint_None Total_Score
64 1 3 15 0.65 0.23 2.24 462.51 464.98
65 1 3 16 0.65 3.27 6.38 462.01 471.67
66 1 3 17 0.66 0.17 7.00 447.11 454.29
67 1 3 18 0.65 4.87 6.45 461.33 472.66
68 1 3 19 0.66 7.91 10.59 446.18 464.69
69 1 3 20 0.65 1.04 6.92 457.44 465.40
70 1 3 21 0.66 1.91 7.48 452.69 462.08
71 1 3 22 0.65 0.80 6.82 459.72 467.35
72 1 3 23 0.66 2.93 6.20 443.48 452.61
73 1 3 24 0.66 0.03 4.43 449.52 453.97
74 1 3 25 0.66 0.08 7.29 440.53 447.90
75 1 3 26 0.66 2.25 9.81 444.44 456.50
76 1 3 27 0.66 1.40 3.42 449.65 454.47
77 1 3 28 0.66 0.33 5.91 440.29 446.54
78 1 3 29 0.66 2.17 9.05 447.53 458.75
79 1 3 30 0.65 5.42 4.59 455.91 465.93
80 1 3 31 0.66 0.29 7.25 450.06 457.61
81 1 3 32 0.66 1.01 12.68 445.02 458.71
82 1 3 33 0.65 0.49 6.68 457.86 465.03
83 1 3 34 0.65 0.86 5.81 457.11 463.78
84 1 3 35 0.66 1.95 9.09 443.87 454.91
85 1 3 36 0.67 0.00 3.89 439.30 443.19
86 1 3 37 0.66 0.36 6.53 451.97 458.86
87 1 3 38 0.66 0.59 5.40 448.70 454.68
88 1 3 39 0.66 0.20 3.58 443.13 446.91
89 1 3 40 0.65 1.73 4.96 457.62 464.32
90 1 3 41 0.67 0.02 10.06 437.06 447.14
91 1 3 42 0.65 2.12 6.34 459.35 467.81
92 1 3 43 0.66 1.77 9.33 453.38 464.47
93 1 3 44 0.66 0.64 8.78 451.45 460.86
94 1 3 45 0.67 0.27 8.18 438.67 447.12
95 1 3 46 0.66 4.19 4.74 448.73 457.66
96 1 3 47 0.66 2.41 6.62 451.61 460.65
97 1 3 48 0.66 2.41 8.59 454.07 465.06
98 1 3 49 0.66 2.05 6.40 444.27 452.72
99 1 3 50 0.66 4.82 3.69 441.16 449.67
100 1 3 51 0.66 1.74 6.73 447.34 455.81
101 1 3 52 0.66 2.17 4.79 447.02 453.98
102 1 3 53 0.65 0.55 9.36 455.45 465.36
103 1 3 54 0.66 1.55 6.03 445.89 453.47
104 1 3 55 0.66 0.33 6.84 451.20 458.36
105 1 3 56 0.66 0.57 3.67 454.91 459.15
106 1 3 57 0.65 1.82 7.91 459.02 468.75
107 1 3 58 0.66 0.11 11.35 454.86 466.33
108 1 3 59 0.66 2.22 5.84 440.77 448.83
109 1 3 60 0.65 1.06 5.68 459.90 466.65
110 1 3 61 0.65 1.98 6.51 457.05 465.54
111 1 3 62 0.66 0.12 4.47 454.10 458.69
112 1 3 63 0.66 0.80 4.85 448.01 453.66
113 1 3 64 0.66 2.71 9.69 448.84 461.24
114 1 3 65 0.66 0.83 4.60 446.40 451.83
115 1 3 66 0.66 0.74 6.59 446.24 453.58
116 1 3 67 0.66 0.18 7.89 453.53 461.59
117 1 3 68 0.66 0.52 6.14 443.55 450.21
118 1 3 69 0.66 2.98 5.63 451.09 459.71
119 1 3 70 0.66 0.14 6.15 447.77 454.06
120 1 3 71 0.66 3.21 7.18 449.82 460.22
121 1 3 72 0.65 0.63 10.04 464.96 475.63
122 1 3 73 0.66 1.90 4.06 453.02 458.98
123 1 3 74 0.65 0.03 5.68 455.80 461.52
124 1 3 75 0.66 3.75 5.23 445.84 454.82
125 1 3 76 0.66 3.31 5.85 448.60 457.76
126 1 3 77 0.65 0.03 4.29 460.07 464.38
127 1 3 78 0.66 0.43 8.65 441.17 450.25
128 1 3 79 0.66 0.07 8.55 455.31 463.93
129 1 3 80 0.66 3.66 5.78 448.25 457.68
130 1 3 81 0.66 0.19 8.27 447.46 455.92
131 1 3 82 0.66 2.19 5.43 443.80 451.42
132 1 3 83 0.66 0.01 9.74 443.44 453.19
133 1 3 84 0.65 1.17 7.10 458.94 467.21
134 1 3 85 0.67 2.30 6.47 435.05 443.81
135 1 3 86 0.66 1.85 8.49 440.78 451.12
136 1 3 87 0.65 0.40 12.19 457.17 469.76
137 1 3 88 0.66 1.52 5.76 451.21 458.49
138 1 3 89 0.65 2.53 2.44 460.02 464.99
139 1 3 90 0.66 0.38 5.58 450.09 456.05
140 1 3 91 0.66 0.04 6.51 448.23 454.78
141 1 3 92 0.66 3.00 6.42 448.45 457.88
142 1 3 93 0.66 1.70 8.49 449.21 459.40
143 1 3 94 0.66 0.81 6.87 439.98 447.66
144 1 3 95 0.66 3.10 6.18 449.59 458.87
145 1 3 96 0.66 0.34 7.41 449.18 456.92
146 1 3 97 0.66 0.00 9.73 450.28 460.01
147 1 3 98 0.66 2.09 7.26 452.36 461.71
148 1 3 99 0.66 2.19 5.02 447.82 455.04
149 1 3 100 0.65 1.63 3.96 459.37 464.96
150 1 3 101 0.66 0.05 3.64 445.83 449.52
151 1 3 102 0.65 2.19 4.18 455.59 461.96
152 1 3 103 0.66 0.05 5.42 443.00 448.47
153 1 3 104 0.65 6.25 4.20 457.90 468.36
154 1 3 105 0.66 0.55 4.94 454.72 460.21
155 1 3 106 0.66 1.21 10.06 448.75 460.02
156 1 3 107 0.66 1.57 8.52 447.09 457.18
157 1 3 108 0.66 1.57 5.59 454.01 461.17
158 1 3 109 0.66 2.84 6.76 449.35 458.95
159 1 3 110 0.66 0.06 6.38 442.22 448.65
160 1 3 111 0.66 0.11 8.17 453.95 462.22
161 1 7 2 0.66 3.01 3.09 448.52 454.62
162 1 7 3 0.66 0.78 6.78 443.86 451.41
163 1 7 5 0.65 1.70 6.09 455.21 462.99
164 1 7 6 0.66 3.86 9.79 452.98 466.63
165 1 7 7 0.66 1.69 3.28 446.05 451.02
166 1 7 8 0.65 0.80 7.72 456.95 465.47
167 1 7 9 0.66 1.27 3.15 451.72 456.13
168 1 7 10 0.65 0.32 2.97 457.81 461.10
169 1 7 11 0.66 1.42 5.44 447.52 454.38
170 1 7 12 0.66 1.37 9.64 452.30 463.31
171 1 7 13 0.66 3.28 5.74 449.88 458.90
172 1 7 14 0.65 4.04 4.82 460.97 469.83
173 1 7 15 0.65 2.70 8.16 455.00 465.86
174 1 7 16 0.65 3.99 7.56 460.37 471.91
175 1 7 17 0.65 0.00 6.48 455.33 461.81
176 1 7 18 0.65 0.00 7.03 454.75 461.79
177 1 7 19 0.65 1.65 3.56 463.08 468.30
178 1 7 20 0.66 0.25 7.90 450.18 458.33
179 1 7 21 0.65 0.86 4.82 455.60 461.28
180 1 7 22 0.66 2.16 5.79 448.64 456.59
181 1 7 23 0.65 0.62 4.49 461.97 467.08
182 1 7 24 0.65 2.45 4.86 456.66 463.97
183 1 7 25 0.65 4.38 5.02 454.99 464.39
184 1 7 26 0.65 0.00 6.34 460.86 467.21
185 1 7 27 0.65 0.54 5.39 465.87 471.80
186 1 7 28 0.66 0.00 7.40 451.76 459.15
187 1 7 29 0.66 1.84 3.90 452.52 458.27
188 1 7 30 0.65 0.63 4.22 464.50 469.35
189 1 7 32 0.66 8.09 5.63 445.28 459.00
190 1 7 33 0.65 0.26 8.27 457.09 465.62
191 1 7 34 0.65 0.95 4.56 458.55 464.06
192 1 7 35 0.66 4.11 6.18 444.17 454.46
193 1 7 36 0.66 0.59 6.02 446.33 452.94
194 1 7 37 0.66 3.16 3.20 450.69 457.05
195 1 7 38 0.66 0.76 6.55 447.51 454.82
196 1 7 39 0.65 2.27 9.68 462.50 474.46
197 1 7 40 0.66 1.45 5.46 452.64 459.55
198 1 7 41 0.66 2.96 4.79 450.90 458.66
199 1 7 42 0.66 0.36 7.68 449.17 457.21
200 1 7 43 0.66 0.06 2.84 446.52 449.43
201 1 7 44 0.66 2.81 5.48 448.48 456.77
202 1 7 45 0.66 1.75 5.89 451.11 458.75
203 1 7 46 0.66 1.80 5.46 450.47 457.73
204 1 7 47 0.66 8.11 4.08 447.68 459.88
205 1 7 48 0.66 0.01 5.50 450.00 455.51
206 1 7 49 0.65 0.51 4.12 459.19 463.82
207 1 7 50 0.65 1.19 8.79 459.98 469.97
208 1 7 51 0.66 0.58 4.86 450.20 455.65
209 1 7 52 0.66 1.82 1.90 450.28 454.00
210 1 7 53 0.66 1.01 9.27 449.93 460.21
211 1 10 0 0.65 0.47 6.16 464.56 471.19
212 1 10 1 0.66 1.26 8.56 445.82 455.65
213 1 10 2 0.66 1.60 5.55 451.51 458.66
214 1 10 3 0.66 3.94 5.08 442.68 451.71
215 1 10 4 0.65 1.21 10.03 457.15 468.39
216 1 10 5 0.65 0.49 9.82 462.77 473.08
217 1 10 6 0.66 0.70 5.56 451.88 458.14
218 1 10 7 0.65 0.00 6.90 465.62 472.52
219 1 10 8 0.65 1.26 5.18 460.28 466.72
220 1 10 9 0.65 2.34 5.81 457.97 466.12
221 1 10 10 0.66 1.11 6.53 443.30 450.94
222 1 10 11 0.65 1.04 4.23 464.46 469.73
223 1 10 12 0.65 1.30 6.67 461.98 469.96
224 1 10 13 0.65 0.15 3.72 462.37 466.24
225 1 10 14 0.66 4.95 5.49 451.71 462.15
226 1 10 17 0.66 0.49 7.85 453.98 462.32
227 1 10 18 0.65 1.47 7.73 457.74 466.94
228 1 10 19 0.66 0.30 3.46 452.79 456.55
229 1 10 20 0.66 3.78 6.10 443.47 453.34
230 1 10 21 0.66 1.20 5.79 449.60 456.59
231 1 10 22 0.65 0.04 3.30 464.89 468.24
232 1 10 23 0.66 2.66 5.42 453.49 461.57
233 1 10 24 0.66 1.55 6.02 446.60 454.17
234 1 10 25 0.66 0.46 6.52 451.07 458.04
235 1 10 26 0.65 1.05 4.43 457.56 463.04
236 1 10 27 0.66 3.69 2.36 447.39 453.44
237 1 10 28 0.66 0.53 7.16 450.44 458.12
238 1 10 29 0.66 1.21 6.63 448.43 456.27
239 1 10 30 0.66 0.71 6.89 446.60 454.20
240 1 10 31 0.66 0.00 7.03 452.33 459.36
241 1 10 32 0.65 0.58 5.11 455.65 461.34
242 1 10 33 0.66 0.04 8.16 452.94 461.15
243 1 10 34 0.65 0.94 8.86 461.18 470.98
244 1 10 35 0.66 2.90 6.85 448.83 458.58
245 1 10 36 0.65 0.07 4.24 459.45 463.76
246 1 10 37 0.65 1.72 4.00 463.88 469.60
247 1 10 38 0.65 1.12 4.11 464.63 469.86
248 1 10 39 0.65 0.22 5.83 459.65 465.70
249 1 10 40 0.66 3.08 5.46 450.03 458.57
250 1 10 41 0.65 0.85 6.32 456.38 463.56
251 1 10 42 0.65 1.16 1.55 456.63 459.34
252 1 10 43 0.65 0.14 1.82 459.14 461.11
253 1 10 44 0.66 0.44 8.16 447.86 456.46
254 1 10 45 0.65 0.60 3.90 455.55 460.04
255 1 10 46 0.65 0.75 3.92 458.64 463.30
256 1 10 47 0.65 0.77 7.54 461.77 470.08
257 1 10 48 0.66 5.17 2.93 440.57 448.68
258 1 10 49 0.66 1.40 3.98 454.21 459.59
259 1 10 50 0.65 1.11 3.16 457.08 461.35
260 1 10 51 0.66 0.39 10.29 452.06 462.74
261 1 10 52 0.65 0.85 6.38 464.39 471.63
262 1 10 53 0.66 1.85 2.81 453.61 458.26
263 1 10 54 0.66 0.31 6.90 447.92 455.13
264 1 10 55 0.65 0.66 5.96 460.36 466.98
265 1 10 56 0.65 0.30 4.73 460.38 465.42
266 1 10 57 0.66 0.56 3.70 442.49 446.75
267 1 10 58 0.66 0.11 2.99 451.95 455.04
268 1 10 59 0.65 0.20 4.61 464.70 469.50
269 1 10 60 0.66 0.85 5.26 447.04 453.15
270 1 10 61 0.65 0.28 6.99 455.80 463.07
271 1 10 62 0.65 0.00 4.60 454.65 459.25
272 1 10 63 0.65 0.93 3.00 454.50 458.43
273 1 10 65 0.66 2.73 6.07 448.84 457.64
274 1 10 66 0.65 0.72 4.19 459.42 464.33
275 1 10 67 0.65 2.28 6.11 466.49 474.88
276 1 10 68 0.65 1.57 6.36 454.53 462.46
277 1 10 69 0.66 0.23 7.78 454.01 462.02
278 1 10 70 0.65 1.48 8.05 466.81 476.34
279 1 10 71 0.66 0.38 1.79 450.63 452.79
280 1 10 72 0.65 1.13 6.99 459.95 468.07
281 1 10 73 0.65 0.51 6.63 455.82 462.97
282 1 10 74 0.65 0.56 1.65 456.73 458.94
283 1 10 75 0.65 2.49 5.71 466.67 474.88
284 1 10 76 0.66 1.38 4.52 453.43 459.33
285 1 10 77 0.65 0.00 4.17 453.81 457.98
286 1 10 78 0.65 3.37 7.14 454.99 465.50
287 1 10 79 0.66 1.20 3.32 452.96 457.48
288 1 10 80 0.65 4.11 5.60 454.57 464.27
289 1 10 81 0.66 0.31 4.36 450.36 455.03
290 1 10 82 0.65 5.43 8.43 455.83 469.69
291 1 10 83 0.65 5.55 7.48 454.27 467.30
292 1 10 84 0.66 2.58 10.35 452.68 465.61
293 1 10 85 0.66 2.41 5.90 453.85 462.16
294 1 10 86 0.65 0.20 6.19 454.92 461.30
295 1 10 87 0.65 0.74 6.90 456.21 463.86
296 1 10 88 0.66 0.22 6.46 448.88 455.56
297 1 10 89 0.65 0.69 3.82 455.69 460.20
298 1 10 90 0.66 2.16 6.42 451.97 460.55
299 1 10 91 0.65 0.96 6.13 459.01 466.10
300 1 10 92 0.65 0.02 6.21 455.00 461.23
301 1 10 93 0.66 0.53 2.51 453.79 456.84
302 1 10 94 0.66 3.13 4.32 447.42 454.87
303 1 10 95 0.66 2.27 3.59 449.98 455.84
304 1 10 96 0.65 0.08 4.50 459.18 463.76
305 1 10 97 0.65 2.02 7.19 457.20 466.41
306 1 10 98 0.65 0.77 6.53 457.03 464.33
307 1 10 99 0.66 0.65 4.73 440.76 446.15
308 1 10 100 0.65 0.36 3.59 456.53 460.49
309 1 10 101 0.66 0.22 8.65 450.58 459.45
310 1 10 102 0.65 4.23 2.72 461.96 468.91
311 1 10 103 0.66 0.66 5.01 451.60 457.27
312 1 10 104 0.66 1.78 7.83 452.16 461.78
313 1 10 105 0.65 6.26 3.41 460.17 469.84
314 1 10 106 0.66 0.50 7.48 444.43 452.41
315 1 10 107 0.65 3.76 4.76 454.68 463.21
316 1 10 108 0.65 0.11 7.81 456.90 464.82
317 1 10 109 0.66 1.56 8.45 448.64 458.66
318 1 10 110 0.65 1.25 7.42 456.04 464.71
319 1 10 111 0.66 0.21 8.68 446.80 455.69
320 1 12 2 0.65 0.49 3.89 460.82 465.19
321 1 12 3 0.66 2.03 3.52 447.02 452.57
322 1 12 4 0.66 0.69 7.09 451.87 459.65
323 1 12 5 0.66 0.95 3.81 446.67 451.43
324 1 12 6 0.66 2.43 3.14 454.16 459.74
325 1 12 7 0.66 0.37 5.05 451.21 456.63
326 1 12 8 0.65 0.05 7.89 457.22 465.16
327 1 12 9 0.65 1.74 6.45 461.41 469.60
328 1 12 11 0.65 0.36 4.76 464.83 469.95
329 1 12 13 0.66 1.02 7.08 443.71 451.81
330 1 12 14 0.66 1.48 6.11 452.31 459.89
331 1 12 15 0.66 0.80 8.25 453.71 462.77
332 1 12 16 0.66 1.37 9.40 453.61 464.38
333 1 12 17 0.65 0.10 6.97 462.89 469.96
334 1 12 18 0.66 5.97 9.44 450.07 465.48
335 1 12 19 0.65 1.30 8.67 461.04 471.00
336 1 12 21 0.66 0.00 1.08 451.92 453.00
337 1 12 22 0.65 2.32 5.23 461.93 469.48
338 1 12 23 0.66 1.23 8.71 453.67 463.61
339 1 12 24 0.66 1.86 6.66 450.66 459.18
340 1 12 25 0.66 3.43 5.83 454.22 463.47
341 1 12 26 0.65 2.10 6.31 462.03 470.44
342 1 12 27 0.66 2.62 4.37 449.68 456.67
343 1 12 28 0.66 0.45 4.43 449.00 453.88
344 1 12 29 0.65 1.21 12.04 456.39 469.65
345 1 12 30 0.65 0.19 8.99 459.69 468.87
346 1 12 31 0.65 0.20 2.57 460.50 463.27
347 1 12 32 0.66 1.36 6.02 453.16 460.53
348 1 12 33 0.66 3.18 6.14 450.25 459.57
349 1 12 34 0.65 4.45 7.28 458.46 470.19
350 1 12 35 0.65 1.14 5.62 457.74 464.49
351 1 12 36 0.65 1.06 7.10 457.18 465.34
352 1 12 37 0.65 0.88 5.18 455.02 461.07
353 1 12 38 0.65 2.70 6.26 460.07 469.03
354 1 12 39 0.66 4.40 3.75 453.47 461.62
355 1 12 40 0.65 1.27 3.90 463.03 468.21
356 1 12 41 0.66 3.42 5.38 442.45 451.25
357 1 12 42 0.66 1.55 10.19 453.19 464.93
358 1 12 43 0.65 0.26 6.51 454.74 461.51
359 1 12 44 0.66 0.59 5.81 446.45 452.86
360 1 12 45 0.66 0.90 9.84 452.46 463.20
361 1 12 46 0.65 0.95 14.45 459.37 474.78
362 1 12 47 0.65 1.23 7.38 457.65 466.26
363 1 12 48 0.65 1.17 6.14 456.97 464.28
364 1 12 49 0.65 1.65 5.70 455.74 463.09
365 1 12 50 0.66 2.83 5.03 448.33 456.18
366 1 12 51 0.65 5.38 5.60 455.42 466.41
367 1 12 52 0.66 0.56 9.28 450.16 460.01
368 1 12 53 0.66 2.80 13.33 454.21 470.33
369 1 12 54 0.65 0.29 9.89 461.34 471.52
370 1 12 55 0.66 0.48 4.97 451.67 457.11
371 1 12 57 0.65 0.58 6.26 460.07 466.90
372 1 12 58 0.65 1.75 9.56 465.56 476.87
373 1 12 59 0.66 0.57 7.01 449.18 456.77
374 1 12 60 0.66 0.45 5.89 449.80 456.14
375 1 12 61 0.66 0.15 4.82 452.50 457.47
376 1 12 62 0.66 0.82 5.57 451.11 457.49
377 1 12 63 0.65 4.21 6.87 456.73 467.81
378 1 12 64 0.66 2.00 4.43 453.65 460.08
379 1 12 65 0.65 0.81 7.42 467.73 475.96
380 1 12 66 0.65 0.60 5.24 461.49 467.33
381 1 12 67 0.66 2.35 5.47 446.33 454.15
382 1 12 68 0.66 1.00 7.56 447.31 455.88
383 1 12 69 0.66 2.14 5.38 453.05 460.56
384 1 12 70 0.66 1.16 4.94 446.39 452.49
385 1 12 71 0.66 0.00 6.00 453.32 459.32
386 1 12 72 0.66 1.40 4.14 447.16 452.70
387 1 12 73 0.65 2.58 8.11 465.18 475.87
388 1 12 74 0.65 8.40 3.27 456.43 468.10
389 1 12 75 0.65 0.46 1.94 455.93 458.32
390 1 12 76 0.66 2.91 4.62 454.68 462.20
391 1 12 77 0.65 2.02 7.03 465.23 474.28
392 1 12 78 0.65 1.94 5.44 460.57 467.95
393 1 12 79 0.65 1.57 5.27 466.32 473.16
394 1 14 0 0.65 1.72 6.11 456.35 464.17
395 1 14 1 0.65 0.79 10.53 460.90 472.22
396 1 14 2 0.65 2.17 9.14 464.09 475.39
397 1 14 3 0.66 0.13 7.95 450.80 458.88
398 1 14 4 0.65 2.10 5.30 465.73 473.13
399 1 14 5 0.66 0.21 10.32 451.61 462.14
400 1 14 7 0.65 1.27 9.54 455.17 465.99
401 1 14 8 0.65 0.18 4.27 455.69 460.14
402 1 14 9 0.66 1.11 6.45 447.78 455.33
403 1 14 10 0.66 2.75 6.25 452.75 461.75
404 1 14 11 0.66 0.72 7.88 451.04 459.64
405 1 14 12 0.66 1.19 5.88 454.57 461.64
406 1 14 13 0.65 0.46 3.48 457.62 461.56
407 1 14 14 0.66 5.18 9.18 449.38 463.74
408 1 14 15 0.66 1.39 4.73 453.11 459.23
409 1 14 16 0.65 0.07 6.20 466.56 472.83
410 1 14 17 0.65 0.85 7.58 455.05 463.48
411 1 14 18 0.66 0.22 7.66 452.84 460.72
412 1 14 19 0.65 3.77 6.11 460.14 470.01
413 1 14 20 0.65 4.87 3.47 465.37 473.71
414 1 14 21 0.65 2.18 5.97 461.32 469.47
415 1 14 23 0.66 0.53 8.32 449.16 458.01
416 1 14 24 0.66 0.00 9.38 449.12 458.50
417 1 14 25 0.66 1.45 6.83 455.35 463.63
418 1 14 26 0.66 0.54 5.00 453.48 459.03
419 1 14 27 0.65 0.44 4.49 456.55 461.48
420 1 14 28 0.66 2.23 7.87 445.75 455.86
421 1 14 29 0.66 0.65 3.72 444.74 449.10
422 1 14 30 0.66 0.48 6.69 454.30 461.47
423 1 14 31 0.66 0.88 5.46 450.75 457.09
424 1 14 32 0.66 1.03 6.74 452.01 459.79
425 1 14 33 0.65 0.60 4.14 459.78 464.52
426 1 14 34 0.66 1.70 6.82 455.00 463.52
427 1 14 35 0.66 2.77 3.08 454.36 460.21
428 1 14 36 0.66 2.67 8.08 449.80 460.56
429 1 14 37 0.66 0.26 4.05 445.08 449.38
430 1 14 38 0.66 0.00 10.41 446.79 457.20
431 1 14 39 0.65 1.04 3.06 463.01 467.11
432 1 14 40 0.66 1.25 6.42 444.67 452.34
433 1 14 41 0.65 0.02 5.24 455.37 460.63
434 1 14 42 0.66 0.22 7.08 454.56 461.86
435 1 14 43 0.66 0.03 7.73 449.44 457.20
436 1 14 44 0.65 0.00 4.88 459.92 464.79
437 1 14 45 0.66 4.11 3.58 451.53 459.22
438 1 14 47 0.66 0.57 9.41 453.28 463.26
439 1 14 48 0.65 0.09 4.94 461.49 466.52
440 1 14 49 0.66 4.39 6.88 450.53 461.80
441 1 14 50 0.66 0.70 4.98 448.11 453.79
442 1 14 51 0.65 0.16 8.62 456.61 465.39
443 1 14 52 0.65 1.98 7.06 459.04 468.08
444 1 14 53 0.65 1.71 4.06 461.21 466.98
445 1 14 54 0.66 1.52 10.83 454.55 466.90
446 1 14 55 0.65 0.28 12.95 461.65 474.89
447 1 14 56 0.65 0.86 3.31 458.52 462.69
448 1 14 57 0.66 0.15 6.09 451.66 457.90
449 1 14 58 0.65 0.33 6.14 468.14 474.60
450 1 14 59 0.66 3.51 3.18 454.99 461.68
451 1 14 60 0.65 0.59 4.98 458.02 463.59
452 1 14 61 0.66 2.95 7.64 452.67 463.25
453 1 14 62 0.66 1.00 7.70 448.39 457.09
454 1 14 63 0.66 0.49 7.88 446.79 455.16
455 1 14 64 0.65 8.56 5.99 456.33 470.87
456 1 14 65 0.66 1.69 7.32 452.32 461.32
457 1 14 66 0.66 0.00 5.23 451.47 456.69
458 1 14 67 0.66 1.23 5.76 440.50 447.50
459 1 14 68 0.65 1.17 9.46 457.45 468.07
460 1 14 69 0.66 3.05 7.16 454.54 464.74
461 1 14 70 0.66 0.61 7.41 448.51 456.53
462 1 14 71 0.65 0.86 8.82 455.55 465.23
463 1 14 72 0.66 2.60 6.40 448.70 457.69
464 1 14 73 0.66 2.11 6.00 448.59 456.71
465 1 14 74 0.66 0.65 4.87 446.62 452.15
466 1 14 75 0.65 1.02 6.67 455.18 462.88
467 1 14 76 0.65 0.57 2.75 459.11 462.42
468 1 14 77 0.66 2.45 9.32 445.48 457.25
469 10 1 32 0.65 0.00 10.52 467.74 478.26
470 10 1 34 0.65 0.00 8.96 467.73 476.69
471 10 1 35 0.65 0.00 5.89 464.51 470.41
472 10 1 37 0.65 0.13 5.30 461.96 467.39
473 10 1 38 0.65 4.07 3.51 467.26 474.85
474 10 1 41 0.65 0.00 6.62 467.79 474.42
475 10 1 42 0.65 0.42 5.44 462.42 468.28
476 10 1 45 0.65 1.85 5.19 468.22 475.26
477 10 1 56 0.65 1.81 6.52 461.69 470.03
478 10 1 59 0.65 3.10 3.10 464.68 470.89
479 10 1 68 0.65 0.00 10.08 463.39 473.47
480 10 1 69 0.65 2.20 5.84 463.75 471.78
481 10 2 4 0.65 5.28 8.40 466.84 480.53
482 10 2 6 0.65 1.75 3.99 460.98 466.72
483 10 2 7 0.65 0.17 5.60 461.72 467.50
484 10 2 8 0.65 2.06 8.95 463.06 474.08
485 10 2 9 0.65 4.86 6.08 464.83 475.77
486 10 2 12 0.65 3.65 5.36 454.81 463.82
487 10 2 13 0.65 0.13 5.26 457.17 462.56
488 10 2 15 0.65 0.33 6.30 456.56 463.19
489 10 2 16 0.65 0.79 2.76 464.12 467.66
490 10 3 3 0.65 1.42 3.80 462.87 468.09
491 10 3 4 0.65 4.15 8.31 456.09 468.56
492 10 3 6 0.65 0.04 5.11 463.70 468.85
493 10 3 7 0.66 3.93 4.18 453.39 461.50
