# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.27900001 63749.50000000  2677.47924805
0.28000000 62364.25000000  3680.11450195
0.28100002 61010.25000000  3613.02734375
0.28200001 59709.25000000  3548.52075195
0.28300002 58418.75000000  2488.63891602
0.28400001 57157.00000000  3420.84667969
0.28500003 55947.25000000  2640.15087891
0.28600001 54746.75000000  3535.27148438
0.28700000 53600.75000000  2547.10766602
0.28800002 52494.25000000  2958.31372070
0.28900000 51394.50000000  2906.35913086
0.29000002 50347.62500000  3296.51098633
0.29100001 49336.00000000  2809.19189453
0.29200003 48324.62500000  2548.64086914
0.29300001 47377.62500000  2925.09472656
0.29400000 46431.87500000  2260.07153320
0.29500002 45538.12500000  2830.64990234
0.29600000 44663.62500000  2188.74096680
0.29700002 43812.62500000  3721.00659180
0.29800001 42999.37500000  3085.63525391
0.29900002 42212.75000000  2849.36083984
0.30000001 41442.25000000  2619.56469727
0.30100003 40719.12500000  2029.03417969
0.30200002 40006.62500000  2181.96142578
0.30300000 39330.12500000  2331.48974609
0.30400002 38657.25000000  2122.28320312
0.30500001 38035.75000000  2095.00927734
0.30600002 37426.87500000  1723.50769043
0.30700001 36847.00000000  2042.79772949
0.30800003 36290.00000000  2186.65405273
0.30900002 35760.00000000  2660.54418945
0.31000000 35247.00000000  2301.98168945
0.31100002 34766.12500000  1952.46569824
0.31200001 34274.12500000  1770.08728027
0.31300002 33819.00000000  1592.87500000
0.31400001 33404.37500000  1736.19250488
0.31500003 32986.25000000  2032.61291504
0.31600001 32605.62500000  2015.51684570
0.31700000 32225.12500000  1690.85229492
0.31800002 31885.75000000  1830.87988281
0.31900001 31546.62500000  1514.23803711
0.32000002 31237.25000000  1804.88842773
0.32100001 30945.87500000  2242.02880859
0.32200003 30666.75000000  1782.96496582
0.32300001 30394.37500000  2068.03344727
0.32400000 30150.25000000  1616.80712891
0.32500002 29915.00000000  1755.41235352
0.32600001 29695.75000000  1602.23425293
0.32700002 29496.62500000  1886.60424805
0.32800001 29318.00000000  1591.52770996
0.32900003 29144.37500000  1731.17602539
0.33000001 28993.00000000  1871.35327148
0.33100003 28831.50000000  1579.38977051
0.33200002 28699.62500000  1720.25561523
0.33300000 28580.00000000  2147.78710938
0.33400002 28470.81250000  1430.65844727
0.33500001 28377.31250000  1716.25988770
0.33600003 28292.31250000  1859.22949219
0.33700001 28212.37500000  2002.51440430
0.33800003 28152.18750000  2433.61596680
0.33900002 28099.50000000  1719.68945312
0.34000000 28047.75000000  2008.49938965
0.34100002 28019.50000000  2443.58081055
0.34200001 27994.25000000  2016.42590332
0.34300002 27973.75000000  1587.79016113
0.34400001 27968.75000000  1592.12109375
0.34500003 27980.68750000  1742.63732910
0.34600002 27988.25000000  2039.50390625
0.34700000 28007.87500000  1608.21215820
0.34800002 28038.18750000  2495.25854492
0.34900001 28070.37500000  1621.06420898
0.35000002 28112.18750000  1924.13879395
0.35100001 28169.31250000  1636.07373047
0.35200003 28224.00000000  2092.24536133
0.35300002 28282.25000000  1952.32385254
0.35400000 28357.12500000  2567.02880859
0.35500002 28436.00000000  2125.87548828
0.35600001 28516.25000000  1985.15881348
0.35700002 28615.75000000  1843.99902344
0.35800001 28705.00000000  2473.22290039
0.35900003 28808.37500000  1711.21765137
0.36000001 28912.12500000  1722.15075684
0.36100003 29031.31250000  2206.96044922
0.36200002 29148.00000000  2063.24121094
0.36300001 29277.81250000  1758.42541504
0.36400002 29409.93750000  1610.19421387
0.36500001 29533.62500000  2107.81494141
0.36600003 29673.18750000  2613.61450195
0.36700001 29817.68750000  2304.31103516
0.36800003 29973.31250000  1659.02294922
0.36900002 30122.93750000  1839.00537109
0.37000000 30288.75000000  1854.12585449
0.37100002 30442.50000000  2208.29907227
0.37200001 30605.43750000  2568.56152344
0.37300003 30777.93750000  1726.64245605
0.37400001 30953.56250000  2785.82080078
0.37500003 31126.43750000  2633.29687500
0.37600002 31310.31250000  2301.77783203
0.37700000 31496.12500000  1785.83032227
0.37800002 31685.75000000  2341.73559570
0.37900001 31875.31250000  2180.27148438
0.38000003 32071.50000000  2382.75219727
0.38100001 32262.25000000  2403.21508789
0.38200003 32468.62500000  2238.38720703
0.38300002 32668.00000000  2446.17993164
0.38400000 32882.75000000  2658.57031250
0.38500002 33080.12500000  2489.94116211
0.38600001 33298.31250000  1932.96704102
0.38700002 33505.37500000  2145.01416016
0.38800001 33710.81250000  2557.13378906
0.38900003 33934.62500000  2183.69335938
0.39000002 34147.31250000  2803.83593750
0.39100003 34369.12500000  2829.26660156
0.39200002 34586.50000000  2038.87426758
0.39300001 34809.18750000  3085.83447266
0.39400002 35032.68750000  2490.82421875
0.39500001 35253.87500000  2722.30419922
0.39600003 35482.75000000  2112.99780273
0.39700001 35704.56250000  2771.03125000
0.39800003 35932.62500000  2150.56787109
0.39900002 36154.06250000  2820.01708984
0.40000001 36383.75000000  2407.33081055
0.40100002 36605.06250000  2428.01391602
0.40200001 36831.62500000  3117.06054688
0.40300003 37053.68750000  2469.99902344
0.40400001 37276.87500000  2943.94140625
0.40500003 37505.00000000  2969.27099609
0.40600002 37725.43750000  2533.45190430
0.40700001 37948.56250000  2322.45214844
0.40800002 38170.18750000  3044.26342773
0.40900001 38385.31250000  3068.90576172
0.41000003 38601.25000000  4283.58105469
0.41100001 38810.87500000  3357.91699219
0.41200003 39027.43750000  2659.52490234
0.41300002 39236.75000000  2680.26245117
0.41400003 39445.81250000  2455.50195312
0.41500002 39646.12500000  2721.31005859
0.41600001 39854.06250000  3240.73315430
0.41700003 40053.68750000  3013.63964844
0.41800001 40245.18750000  3288.23315430
0.41900003 40440.62500000  3312.08740234
0.42000002 40629.93750000  3078.93676758
0.42100003 40818.68750000  3617.35229492
0.42200002 41002.56250000  2601.61279297
0.42300001 41182.68750000  2881.14086914
0.42400002 41355.68750000  2636.42529297
0.42500001 41519.62500000  4244.96679688
0.42600003 41688.87500000  2937.18994141
0.42700002 41848.37500000  2955.33227539
0.42800003 42001.81250000  2973.09863281
0.42900002 42153.50000000  2718.90087891
0.43000001 42300.93750000  2734.75561523
0.43100002 42442.68750000  2750.28637695
0.43200001 42585.25000000  3042.50317383
0.43300003 42706.50000000  4170.29003906
0.43400002 42835.62500000  4192.53710938
0.43500003 42957.18750000  3090.34033203
0.43600002 43072.18750000  3105.72021484
0.43700001 43182.87500000  3404.53784180
0.43800002 43280.00000000  3134.98706055
0.43900001 43378.50000000  3149.27929688
0.44000003 43479.00000000  2876.13598633
0.44100001 43558.37500000  6642.21679688
0.44200003 43633.50000000  4349.16943359
0.44300002 43716.00000000  3493.78295898
0.44400004 43781.75000000  2922.43212891
0.44500002 43846.50000000  3226.66406250
0.44600001 43889.75000000  5002.77343750
0.44700003 43950.75000000  4134.88671875
0.44800001 43992.00000000  4148.00585938
0.44900003 44026.50000000  4160.50439453
0.45000002 44059.00000000  3278.65063477
0.45100003 44075.50000000  3585.98291016
0.45200002 44099.12500000  3296.18920898
0.45300001 44110.75000000  3905.12475586
0.45400003 44116.75000000  3613.16210938
0.45500001 44120.75000000  3017.85937500
0.45600003 44116.87500000  3931.47558594
0.45700002 44101.25000000  3332.73168945
0.45800003 44089.25000000  3946.20849609
0.45900002 44060.50000000  3952.22705078
0.46000001 44032.62500000  4871.76953125
0.46100003 44000.25000000  4268.90429688
0.46200001 43963.00000000  3358.55346680
0.46300003 43915.75000000  3056.53637695
0.46400002 43864.00000000  3059.51416016
0.46500003 43805.25000000  3368.18603516
0.46600002 43746.87500000  3677.36254883
0.46700001 43680.62500000  3679.65600586
0.46800002 43610.50000000  3374.79882812
0.46900001 43538.75000000  4604.22314453
0.47000003 43459.12500000  3684.46484375
0.47100002 43376.00000000  3378.12304688
0.47200003 43284.37500000  3685.23193359
0.47300002 43194.50000000  3378.24194336
0.47400004 43099.37500000  3992.07983398
0.47500002 42998.25000000  3070.07519531
0.47600001 42895.25000000  3376.07080078
0.47700003 42785.25000000  3681.24316406
0.47800002 42675.87500000  4906.01855469
0.47900003 42563.81250000  4290.43261719
0.48000002 42446.37500000  3981.25781250
0.48100004 42328.31250000  3672.40478516
0.48200002 42207.00000000  3975.26660156
0.48300001 42084.18750000  3971.90576172
0.48400003 41955.18750000  3967.91210938
0.48500001 41828.56250000  3659.16284180
0.48600003 41699.00000000  3350.72338867
0.48700002 41567.18750000  3346.98999023
0.48800004 41432.87500000  4254.74218750
0.48900002 41298.50000000  3338.98388672
0.49000001 41160.18750000  3334.59277344
0.49100003 41029.50000000  3330.77490234
0.49200001 40891.12500000  3931.06835938
0.49300003 40749.87500000  3925.43579102
0.49400002 40615.37500000  3015.69165039
0.49500003 40474.06250000  3914.65161133
0.49600002 40337.56250000  4510.74804688
0.49700001 40195.75000000  3603.14697266
0.49800003 40057.93750000  3598.00415039
0.49900001 39918.62500000  3892.06591797
0.50000000 39783.81250000  4783.60546875
