# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.46400002 35008.31250000  2930.19580078
0.46500003 35019.00000000  2692.61108398
0.46600002 35028.75000000  3435.26977539
0.46700001 35030.25000000  2459.12353516
0.46800002 35037.00000000  2711.33837891
0.46900001 35029.81250000  3457.44262695
0.47000003 35025.50000000  2474.55175781
0.47100002 35014.75000000  2479.04443359
0.47200003 35001.12500000  3724.99487305
0.47300002 34983.06250000  3482.21411133
0.47400004 34960.25000000  2989.10156250
0.47500002 34935.00000000  2743.79492188
0.47600001 34907.25000000  2997.13647461
0.47700003 34873.81250000  2750.49780273
0.47800002 34834.68750000  2753.15966797
0.47900003 34795.18750000  2755.77905273
0.48000002 34749.75000000  2507.19458008
0.48100004 34701.43750000  4516.04541016
0.48200002 34650.68750000  2761.48657227
0.48300001 34592.68750000  2762.57202148
0.48400003 34532.50000000  2763.46337891
0.48500001 34468.87500000  3517.89355469
0.48600003 34401.43750000  3015.63012695
0.48700002 34330.81250000  3266.92016602
0.48800004 34254.93750000  3517.63989258
0.48900002 34176.00000000  3767.90405273
0.49000001 34093.87500000  2762.11523438
0.49100003 34010.43750000  3764.95556641
0.49200001 33920.06250000  3762.58300781
0.49300003 33825.81250000  3258.44067383
0.49400002 33731.62500000  3255.94531250
0.49500003 33629.56250000  2752.24365234
0.49600002 33529.81250000  2749.61230469
0.49700001 33422.37500000  3495.31201172
0.49800003 33317.50000000  3990.10400391
0.49900001 33204.87500000  3237.47534180
0.50000000 33088.87500000  2983.95483398
