# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.87630782746791, Chi^2 = 3.22884087725121
#  q       exp_intensity   model_intensity error
0.22100002 176862.93750000 148491.26532160 7656.39697266
0.22200002 174900.64062500 146653.30453535 6435.46972656
0.22300000 172954.37500000 144977.38052040 5811.26708984
0.22400001 171024.73437500 143302.40931801 6349.29345703
0.22500001 169110.71875000 141628.18570702 7452.70947266
0.22600001 167208.00000000 140026.40516856 8540.14941406
0.22700001 165317.96875000 138412.42862922 6219.26220703
0.22800002 163433.31250000 136884.05863451 9543.68847656
0.22900002 161557.59375000 135272.80860498 6688.48486328
0.23000000 159690.39062500 133726.64300322 8299.90820312
0.23100001 157827.59375000 132252.45139702 6041.64062500
0.23200001 155968.32812500 130738.57881201 7086.42138672
0.23300001 154112.90625000 129246.70886801 5950.29980469
0.23400001 152262.57812500 127735.87062456 5367.25634766
0.23500001 150408.04687500 126327.87750390 6921.77880859
0.23600002 148561.90625000 124829.52843443 5809.51367188
0.23700002 146713.53125000 123368.69086285 6808.97558594
0.23800001 144870.82812500 122007.64208452 7271.06689453
0.23900001 143023.57812500 120533.76563941 8238.15820312
0.24000001 141178.89062500 119134.83889681 6634.70214844
0.24100001 139336.70312500 117712.59023426 9104.26074219
0.24200001 137494.32812500 116366.61788249 5512.83544922
0.24300002 135650.84375000 114931.88004597 5461.30322266
0.24400002 133808.51562500 113600.67628902 4917.46337891
0.24500000 131965.85937500 112177.02039560 6330.40234375
0.24600001 130125.28906250 110784.51414385 6267.48486328
0.24700001 128285.65625000 109421.92620675 7158.33984375
0.24800001 126445.87500000 108079.03950184 5195.02880859
0.24900001 124608.67187500 106733.86604677 7476.52050781
0.25000000 122775.35937500 105350.60940626 4622.49218750
0.25100002 120942.67187500 103973.99313642 5485.95996094
0.25200000 119116.89062500 102639.49118212 4520.48583984
0.25300002 117293.48437500 101301.84494634 5809.54687500
0.25400001 115474.45312500 99955.60140946  4416.89794922
0.25500003 113659.28125000 98607.18839165  4364.51660156
0.25600001 111852.82031250 97287.46236149  4743.11914062
0.25700000 110050.23437500 95917.66969551  6388.41601562
0.25800002 108256.36718750 94637.72725475  4626.33593750
0.25900000 106468.92187500 93337.84171400  6228.43212891
0.26000002 104690.39062500 92066.97298062  6147.94384766
0.26100001 102920.08593750 90742.84935399  4449.23535156
0.26200002 101163.92968750 89452.55790287  4390.00927734
0.26300001 99414.44531250  88188.74731183  3936.81225586
0.26400000 97678.50000000  86893.00284109  4270.99218750
0.26500002 95954.86718750  85625.79877144  3828.59936523
0.26600000 94245.74218750  84412.68513838  3774.54199219
0.26700002 92548.21875000  83141.19341217  4464.52636719
0.26800001 90869.21875000  81926.68720689  4766.54492188
0.26900002 89202.28906250  80704.85167417  5057.77001953
0.27000001 87553.42968750  79519.43556955  4626.76123047
0.27100003 85921.64062500  78276.85071080  3856.16357422
0.27200001 84309.42968750  77101.76895789  4833.45996094
0.27300000 82710.62500000  75974.62100650  4419.22851562
